"siteID","date","dayMax","dayMin","dayMean","GDD","dayOfYear","year","AGDD"
"HARV","2014-11-22",35.5019,14.83988,25.17089,0,326,"2014",20
"BART","2014-11-23",45.26114,32.17676,38.71895,0,327,"2014",2
"HARV","2014-11-23",53.02688,30.39188,41.70938,0,327,"2014",20
"BART","2014-11-24",64.68134,33.44756,49.06445,0,328,"2014",2
"HARV","2014-11-24",61.08548,34.38662,47.73605,0,328,"2014",20
"BART","2014-11-25",65.14988,42.18512,53.6675,4,329,"2014",6
"HARV","2014-11-25",58.39142,37.72382,48.05762,0,329,"2014",20
"BART","2014-11-26",46.18598,30.13808,38.16203,0,330,"2014",6
"HARV","2014-11-26",44.79314,30.11576,37.45445,0,330,"2014",20
"BART","2014-11-27",31.71704,24.15758,27.93731,0,331,"2014",6
"HARV","2014-11-27",32.24984,26.29616,29.273,0,331,"2014",20
"BART","2014-11-28",28.41386,19.49882,23.95634,0,332,"2014",6
"HARV","2014-11-28",31.68914,20.19686,25.943,0,332,"2014",20
"BART","2014-11-29",29.93702,12.722,21.32951,0,333,"2014",6
"HARV","2014-11-29",29.11694,9.36788,19.24241,0,333,"2014",20
"BART","2014-11-30",36.9626,13.86374,25.41317,0,334,"2014",6
"HARV","2014-11-30",45.64688,17.3102,31.47854,0,334,"2014",20
"BART","2014-12-01",57.63488,31.82414,44.72951,0,335,"2014",6
"HARV","2014-12-01",52.95884,33.44018,43.19951,0,335,"2014",20
"BART","2014-12-02",34.2005,18.2183,26.2094,0,336,"2014",6
"HARV","2014-12-02",38.1533,24.94292,31.54811,0,336,"2014",20
"BART","2014-12-03",42.38042,20.15546,31.26794,0,337,"2014",6
"HARV","2014-12-03",40.84808,27.03776,33.94292,0,337,"2014",20
"BART","2014-12-04",42.37394,20.14844,31.26119,0,338,"2014",6
"HARV","2014-12-04",40.4258,26.16746,33.29663,0,338,"2014",20
"BART","2014-12-05",25.67912,5.61956,15.64934,0,339,"2014",6
"HARV","2014-12-05",34.74482,18.18932,26.46707,0,339,"2014",20
"BART","2014-12-06",37.93532,19.994,28.96466,0,340,"2014",6
"HARV","2014-12-06",34.8854,29.06168,31.97354,0,340,"2014",20
"BART","2014-12-07",37.1543,9.3461,23.2502,0,341,"2014",6
"HARV","2014-12-07",34.64438,18.40406,26.52422,0,341,"2014",20
"BART","2014-12-08",20.68358,-0.588460000000005,10.04756,0,342,"2014",6
"HARV","2014-12-08",22.83818,9.43304,16.13561,0,342,"2014",20
"BART","2014-12-09",34.36808,14.56934,24.46871,0,343,"2014",6
"HARV","2014-12-09",36.24278,19.82894,28.03586,0,343,"2014",20
"BART","2014-12-10",39.61886,31.97858,35.79872,0,344,"2014",6
"HARV","2014-12-10",35.73932,32.85392,34.29662,0,344,"2014",20
"BART","2014-12-11",38.18246,32.05868,35.12057,0,345,"2014",6
"HARV","2014-12-11",33.6092,26.93894,30.27407,0,345,"2014",20
"BART","2014-12-12",36.93362,28.72472,32.82917,0,346,"2014",6
"HARV","2014-12-12",31.32752,23.25776,27.29264,0,346,"2014",20
"BART","2014-12-13",33.29834,28.36166,30.83,0,347,"2014",6
"HARV","2014-12-13",33.32948,25.37078,29.35013,0,347,"2014",20
"BART","2014-12-14",39.4952,29.72246,34.60883,0,348,"2014",6
"HARV","2014-12-14",35.76974,21.80498,28.78736,0,348,"2014",20
"BART","2014-12-15",40.92278,25.87928,33.40103,0,349,"2014",6
"HARV","2014-12-15",35.87432,26.52908,31.2017,0,349,"2014",20
"BART","2014-12-16",34.55582,20.09228,27.32405,0,350,"2014",6
"HARV","2014-12-16",34.7333,22.51202,28.62266,0,350,"2014",20
"BART","2014-12-17",40.0766,30.4376,35.2571,0,351,"2014",6
"HARV","2014-12-17",40.937,32.70956,36.82328,0,351,"2014",20
"BART","2014-12-18",41.41112,30.63704,36.02408,0,352,"2014",6
"HARV","2014-12-18",37.6925,30.48458,34.08854,0,352,"2014",20
"BART","2014-12-19",32.14274,24.62342,28.38308,0,353,"2014",6
"HARV","2014-12-19",32.306,26.39318,29.34959,0,353,"2014",20
"BART","2014-12-20",33.1565,12.03854,22.59752,0,354,"2014",6
"HARV","2014-12-20",34.27358,17.39174,25.83266,0,354,"2014",20
"UNDE","2014-12-20",26.56238,13.63478,20.09858,0,354,"2014",0
"BART","2014-12-21",31.7525,11.07212,21.41231,0,355,"2014",6
"HARV","2014-12-21",32.77634,25.41002,29.09318,0,355,"2014",20
"UNDE","2014-12-21",31.34336,25.75724,28.5503,0,355,"2014",0
"BART","2014-12-22",33.77174,24.25118,29.01146,0,356,"2014",6
"HARV","2014-12-22",36.20174,28.4666,32.33417,0,356,"2014",20
"UNDE","2014-12-22",32.68202,30.54416,31.61309,0,356,"2014",0
"BART","2014-12-23",33.81908,28.68782,31.25345,0,357,"2014",6
"HARV","2014-12-23",38.78942,32.14004,35.46473,0,357,"2014",20
"UNDE","2014-12-23",32.48924,29.00444,30.74684,0,357,"2014",0
"BART","2014-12-24",36.81932,31.84052,34.32992,0,358,"2014",6
"HARV","2014-12-24",40.2116,35.95928,38.08544,0,358,"2014",20
"UNDE","2014-12-24",30.93602,28.03262,29.48432,0,358,"2014",0
"BART","2014-12-25",49.91558,32.38916,41.15237,0,359,"2014",6
"HARV","2014-12-25",57.24842,38.97698,48.1127,0,359,"2014",20
"UNDE","2014-12-25",30.41816,28.04648,29.23232,0,359,"2014",0
"BART","2014-12-26",45.26006,30.785,38.02253,0,360,"2014",6
"HARV","2014-12-26",43.67732,30.91964,37.29848,0,360,"2014",20
"UNDE","2014-12-26",30.12854,26.11202,28.12028,0,360,"2014",0
"BART","2014-12-27",45.76154,29.29244,37.52699,0,361,"2014",6
"HARV","2014-12-27",46.12928,27.2489,36.68909,0,361,"2014",20
"UNDE","2014-12-27",29.24132,22.30286,25.77209,0,361,"2014",0
"BART","2014-12-28",49.28342,31.83512,40.55927,0,362,"2014",6
"HARV","2014-12-28",43.5299,32.9747,38.2523,0,362,"2014",20
"UNDE","2014-12-28",22.70372,3.97994,13.34183,0,362,"2014",0
"BART","2014-12-29",38.73254,18.32882,28.53068,0,363,"2014",6
"HARV","2014-12-29",37.01714,25.10042,31.05878,0,363,"2014",20
"UNDE","2014-12-29",7.63016,-4.1107,1.75973,0,363,"2014",0
"BART","2014-12-30",21.6149,7.65842,14.63666,0,364,"2014",6
"HARV","2014-12-30",29.0174,15.58004,22.29872,0,364,"2014",20
"UNDE","2014-12-30",3.32888,-12.9523,-4.81171,0,364,"2014",0
"BART","2014-12-31",20.32538,3.49124,11.90831,0,365,"2014",6
"HARV","2014-12-31",26.75948,10.05854,18.40901,0,365,"2014",20
"UNDE","2014-12-31",3.1955,-14.764,-5.78425,0,365,"2014",0
"BART","2015-01-01",26.1185,5.27666,15.69758,0,1,"2015",0
"HARV","2015-01-01",27.85064,8.82896,18.3398,0,1,"2015",0
"UNDE","2015-01-01",20.5952,-1.11406,9.74057,0,1,"2015",0
"BART","2015-01-02",30.06896,19.51376,24.79136,0,2,"2015",0
"HARV","2015-01-02",33.05048,21.13538,27.09293,0,2,"2015",0
"UNDE","2015-01-02",13.26848,-6.35566000000001,3.45641,0,2,"2015",0
"BART","2015-01-03",21.54434,6.23174,13.88804,0,3,"2015",0
"HARV","2015-01-03",28.19408,15.44054,21.81731,0,3,"2015",0
"UNDE","2015-01-03",25.86542,11.72696,18.79619,0,3,"2015",0
"BART","2015-01-04",32.5463,14.5661,23.5562,0,4,"2015",0
"HARV","2015-01-04",41.16218,20.67692,30.91955,0,4,"2015",0
"UNDE","2015-01-04",25.2338,-10.83406,7.19987,0,4,"2015",0
"BART","2015-01-05",44.95334,9.87548,27.41441,0,5,"2015",0
"HARV","2015-01-05",43.58462,13.29944,28.44203,0,5,"2015",0
"UNDE","2015-01-05",-2.47774,-23.1736,-12.82567,0,5,"2015",0
"BART","2015-01-06",13.04186,-2.66458,5.18864,0,6,"2015",0
"HARV","2015-01-06",85.30358,5.10368,45.20363,0,6,"2015",0
"UNDE","2015-01-06",2.55902,-13.83934,-5.64016,0,6,"2015",0
"BART","2015-01-07",18.73598,-4.36918000000001,7.1834,0,7,"2015",0
"HARV","2015-01-07",16.34864,3.26876,9.8087,0,7,"2015",0
"UNDE","2015-01-07",1.24394,-11.5762,-5.16613,0,7,"2015",0
"BART","2015-01-08",13.04942,-14.215,-0.582790000000003,0,8,"2015",0
"HARV","2015-01-08",13.39196,-10.35058,1.52069,0,8,"2015",0
"UNDE","2015-01-08",1.54868,-10.86088,-4.6561,0,8,"2015",0
"BART","2015-01-09",24.53864,1.84352,13.19108,0,9,"2015",0
"HARV","2015-01-09",22.34552,9.12002,15.73277,0,9,"2015",0
"UNDE","2015-01-09",5.80064,-8.27662,-1.23799,0,9,"2015",0
"BART","2015-01-10",21.53336,8.25962,14.89649,0,10,"2015",0
"HARV","2015-01-10",19.31576,3.00398,11.15987,0,10,"2015",0
"UNDE","2015-01-10",9.3704,-13.99,-2.3098,0,10,"2015",0
"BART","2015-01-11",23.77148,-3.13564,10.31792,0,11,"2015",0
"HARV","2015-01-11",22.84088,1.09274,11.96681,0,11,"2015",0
"UNDE","2015-01-11",9.8555,-8.18572,0.834890000000001,0,11,"2015",0
"BART","2015-01-12",24.81782,16.0061,20.41196,0,12,"2015",0
"HARV","2015-01-12",31.28972,22.4222,26.85596,0,12,"2015",0
"UNDE","2015-01-12",7.30418,-13.37908,-3.03745,0,12,"2015",0
"BART","2015-01-13",31.15652,1.55804,16.35728,0,13,"2015",0
"HARV","2015-01-13",30.8381,4.4366,17.63735,0,13,"2015",0
"UNDE","2015-01-13",13.14194,-21.26524,-4.06165,0,13,"2015",0
"BART","2015-01-14",24.2636,-6.48094,8.89133,0,14,"2015",0
"HARV","2015-01-14",18.09626,-3.67546,7.2104,0,14,"2015",0
"UNDE","2015-01-14",15.89954,1.05656,8.47805,0,14,"2015",0
"BART","2015-01-15",25.7468,-0.275260000000003,12.73577,0,15,"2015",0
"HARV","2015-01-15",24.23642,11.79176,18.01409,0,15,"2015",0
"UNDE","2015-01-15",30.57224,14.57798,22.57511,0,15,"2015",0
"BART","2015-01-16",32.1197,7.2347,19.6772,0,16,"2015",0
"HARV","2015-01-16",30.32078,13.62506,21.97292,0,16,"2015",0
"UNDE","2015-01-16",25.83806,7.85912,16.84859,0,16,"2015",0
"BART","2015-01-17",18.0707,-3.43318,7.31876,0,17,"2015",0
"HARV","2015-01-17",19.1444,-4.02502,7.55969,0,17,"2015",0
"UNDE","2015-01-17",30.71768,12.70868,21.71318,0,17,"2015",0
"BART","2015-01-18",33.86462,4.98182,19.42322,0,18,"2015",0
"HARV","2015-01-18",45.49424,12.19946,28.84685,0,18,"2015",0
"UNDE","2015-01-18",29.96474,23.39528,26.68001,0,18,"2015",0
"BART","2015-01-19",42.45872,31.70246,37.08059,0,19,"2015",0
"HARV","2015-01-19",44.91572,29.08346,36.99959,0,19,"2015",0
"UNDE","2015-01-19",24.37142,14.90648,19.63895,0,19,"2015",0
"BART","2015-01-20",35.34926,17.25026,26.29976,0,20,"2015",0
"HARV","2015-01-20",29.75846,20.83784,25.29815,0,20,"2015",0
"UNDE","2015-01-20",23.39726,18.6611,21.02918,0,20,"2015",0
"BART","2015-01-21",32.67158,13.4726,23.07209,0,21,"2015",0
"HARV","2015-01-21",27.44528,11.68196,19.56362,0,21,"2015",0
"UNDE","2015-01-21",23.17568,17.2742,20.22494,0,21,"2015",0
"BART","2015-01-22",36.04532,8.63042,22.33787,0,22,"2015",0
"HARV","2015-01-22",33.58292,17.85398,25.71845,0,22,"2015",0
"UNDE","2015-01-22",29.49764,15.78074,22.63919,0,22,"2015",0
"BART","2015-01-23",32.33714,15.485,23.91107,0,23,"2015",0
"HARV","2015-01-23",30.88472,10.54922,20.71697,0,23,"2015",0
"UNDE","2015-01-23",32.84456,18.31334,25.57895,0,23,"2015",0
"BART","2015-01-24",31.67402,13.31564,22.49483,0,24,"2015",0
"HARV","2015-01-24",32.41202,21.23978,26.8259,0,24,"2015",0
"UNDE","2015-01-24",33.99692,21.2891,27.64301,0,24,"2015",0
"BART","2015-01-25",33.55304,9.0536,21.30332,0,25,"2015",0
"HARV","2015-01-25",32.54144,18.4001,25.47077,0,25,"2015",0
"UNDE","2015-01-25",22.58798,10.0004,16.29419,0,25,"2015",0
"BART","2015-01-26",20.43914,-2.80012,8.81951,0,26,"2015",0
"HARV","2015-01-26",20.29244,5.7884,13.04042,0,26,"2015",0
"UNDE","2015-01-26",19.69646,2.22836,10.96241,0,26,"2015",0
"BART","2015-01-27",19.33178,11.04728,15.18953,0,27,"2015",0
"HARV","2015-01-27",16.3904,8.75354,12.57197,0,27,"2015",0
"UNDE","2015-01-27",23.0765,18.04784,20.56217,0,27,"2015",0
"BART","2015-01-28",19.97024,7.73942,13.85483,0,28,"2015",0
"HARV","2015-01-28",21.18812,4.58618,12.88715,0,28,"2015",0
"UNDE","2015-01-28",28.55462,20.29442,24.42452,0,28,"2015",0
"BART","2015-01-29",35.04992,-0.09328,17.47832,0,29,"2015",0
"HARV","2015-01-29",34.56338,0.570200000000003,17.56679,0,29,"2015",0
"UNDE","2015-01-29",27.43916,16.92788,22.18352,0,29,"2015",0
"BART","2015-01-30",29.11298,20.85044,24.98171,0,30,"2015",0
"HARV","2015-01-30",30.01208,21.74846,25.88027,0,30,"2015",0
"UNDE","2015-01-30",17.77262,7.55492,12.66377,0,30,"2015",0
"BART","2015-01-31",23.26262,1.35518,12.3089,0,31,"2015",0
"HARV","2015-01-31",22.6841,0.797359999999998,11.74073,0,31,"2015",0
"UNDE","2015-01-31",20.84486,12.48764,16.66625,0,31,"2015",0
"BART","2015-02-01",14.62316,3.848,9.23558,0,32,"2015",0
"HARV","2015-02-01",28.39298,-2.83396,12.77951,0,32,"2015",0
"UNDE","2015-02-01",13.4402,0.487760000000002,6.96398,0,32,"2015",0
"BART","2015-02-02",8.77028,-2.74252000000001,3.01388,0,33,"2015",0
"HARV","2015-02-02",19.55372,7.0295,13.29161,0,33,"2015",0
"UNDE","2015-02-02",12.1325,-5.24146,3.44552,0,33,"2015",0
"BART","2015-02-03",16.1924,-1.87708,7.15766,0,34,"2015",0
"HARV","2015-02-03",17.96684,-5.72134,6.12275,0,34,"2015",0
"UNDE","2015-02-03",16.33136,-9.06754,3.63191,0,34,"2015",0
"BART","2015-02-04",25.71134,-2.95492,11.37821,0,35,"2015",0
"HARV","2015-02-04",31.95464,1.98032,16.96748,0,35,"2015",0
"UNDE","2015-02-04",14.02268,-2.35786,5.83241,0,35,"2015",0
"BART","2015-02-05",26.91212,4.19918,15.55565,0,36,"2015",0
"HARV","2015-02-05",32.13086,6.48104,19.30595,0,36,"2015",0
"UNDE","2015-02-05",17.01626,-18.0391,-0.511419999999998,0,36,"2015",0
"BART","2015-02-06",19.12766,-1.28884,8.91941,0,37,"2015",0
"HARV","2015-02-06",17.0339,-7.85452,4.58969,0,37,"2015",0
"UNDE","2015-02-06",21.76862,5.1953,13.48196,0,37,"2015",0
"BART","2015-02-07",25.78658,4.65584,15.22121,0,38,"2015",0
"HARV","2015-02-07",22.86212,3.24338,13.05275,0,38,"2015",0
"UNDE","2015-02-07",24.52064,14.55386,19.53725,0,38,"2015",0
"BART","2015-02-08",22.66016,5.66006,14.16011,0,39,"2015",0
"HARV","2015-02-08",22.99802,10.41818,16.7081,0,39,"2015",0
"UNDE","2015-02-08",23.82602,14.76392,19.29497,0,39,"2015",0
"BART","2015-02-09",17.19644,6.72224,11.95934,0,40,"2015",0
"HARV","2015-02-09",16.09466,8.86478,12.47972,0,40,"2015",0
"UNDE","2015-02-09",22.7309,0.641299999999998,11.6861,0,40,"2015",0
"BART","2015-02-10",32.22482,12.4637,22.34426,0,41,"2015",0
"HARV","2015-02-10",32.0675,12.61238,22.33994,0,41,"2015",0
"UNDE","2015-02-10",25.31984,13.7678,19.54382,0,41,"2015",0
"BART","2015-02-11",25.68938,-1.28218,12.2036,0,42,"2015",0
"HARV","2015-02-11",26.7332,8.75282,17.74301,0,42,"2015",0
"UNDE","2015-02-11",21.9002,8.00636,14.95328,0,42,"2015",0
"BART","2015-02-12",20.42816,5.2232,12.82568,0,43,"2015",0
"HARV","2015-02-12",25.65734,5.54198,15.59966,0,43,"2015",0
"UNDE","2015-02-12",9.22676,-2.81164,3.20756,0,43,"2015",0
"BART","2015-02-13",19.62338,-4.31536,7.65401,0,44,"2015",0
"HARV","2015-02-13",23.14904,-2.8615,10.14377,0,44,"2015",0
"UNDE","2015-02-13",14.31878,-11.25436,1.53221,0,44,"2015",0
"BART","2015-02-14",10.54274,-4.02664,3.25805,0,45,"2015",0
"HARV","2015-02-14",18.69332,-4.88686,6.90323,0,45,"2015",0
"UNDE","2015-02-14",13.1423,-7.65364,2.74433,0,45,"2015",0
"BART","2015-02-15",15.00728,-3.86374,5.57177,0,46,"2015",0
"HARV","2015-02-15",16.37744,3.12998,9.75371,0,46,"2015",0
"UNDE","2015-02-15",6.07694,-21.51112,-7.71709,0,46,"2015",0
"BART","2015-02-16",10.53608,-8.65102,0.942529999999998,0,47,"2015",0
"HARV","2015-02-16",13.59266,-14.46196,-0.434650000000003,0,47,"2015",0
"UNDE","2015-02-16",11.98742,1.41602,6.70172,0,47,"2015",0
"BART","2015-02-17",23.94266,-6.24694,8.84786,0,48,"2015",0
"HARV","2015-02-17",22.37828,1.5539,11.96609,0,48,"2015",0
"UNDE","2015-02-17",10.69538,-6.61198,2.0417,0,48,"2015",0
"BART","2015-02-18",30.34076,-4.82062,12.76007,0,49,"2015",0
"HARV","2015-02-18",29.29802,1.16744,15.23273,0,49,"2015",0
"UNDE","2015-02-18",0.985279999999999,-14.93104,-6.97288,0,49,"2015",0
"BART","2015-02-19",25.51406,12.58394,19.049,0,50,"2015",0
"HARV","2015-02-19",23.14382,7.6847,15.41426,0,50,"2015",0
"UNDE","2015-02-19",-0.143680000000003,-26.18842,-13.16605,0,50,"2015",0
"BART","2015-02-20",19.76432,-1.9084,8.92796,0,51,"2015",0
"HARV","2015-02-20",12.00416,-3.1279,4.43813,0,51,"2015",0
"UNDE","2015-02-20",11.00498,-20.11774,-4.55638,0,51,"2015",0
"BART","2015-02-21",22.45406,-9.4315,6.51128,0,52,"2015",0
"HARV","2015-02-21",24.24398,-3.71452,10.26473,0,52,"2015",0
"UNDE","2015-02-21",14.29214,5.44694,9.86954,0,52,"2015",0
"BART","2015-02-22",34.41866,11.52068,22.96967,0,53,"2015",0
"HARV","2015-02-22",35.76668,22.8803,29.32349,0,53,"2015",0
"UNDE","2015-02-22",6.6731,-14.4328,-3.87985,0,53,"2015",0
"BART","2015-02-23",28.6349,-3.53992,12.54749,0,54,"2015",0
"HARV","2015-02-23",31.50842,4.79372,18.15107,0,54,"2015",0
"UNDE","2015-02-23",6.76778,-26.17888,-9.70555,0,54,"2015",0
"BART","2015-02-24",16.52954,-13.94356,1.29299,0,55,"2015",0
"HARV","2015-02-24",17.2022,-12.23842,2.48189,0,55,"2015",0
"UNDE","2015-02-24",22.19036,1.21784,11.7041,0,55,"2015",0
"BART","2015-02-25",30.35804,1.94288,16.15046,0,56,"2015",0
"HARV","2015-02-25",29.4512,8.8727,19.16195,0,56,"2015",0
"UNDE","2015-02-25",8.53142,-15.83194,-3.65026,0,56,"2015",0
"BART","2015-02-26",24.5534,7.41524,15.98432,0,57,"2015",0
"HARV","2015-02-26",22.43048,9.15206,15.79127,0,57,"2015",0
"UNDE","2015-02-26",6.24002,-23.61478,-8.68738,0,57,"2015",0
"BART","2015-02-27",21.29828,5.82872,13.5635,0,58,"2015",0
"HARV","2015-02-27",23.26424,4.64072,13.95248,0,58,"2015",0
"UNDE","2015-02-27",16.39076,-23.1034,-3.35632,0,58,"2015",0
"BART","2015-02-28",31.93664,2.77286,17.35475,0,59,"2015",0
"HARV","2015-02-28",27.17168,-2.0335,12.56909,0,59,"2015",0
"UNDE","2015-02-28",20.87978,-14.62594,3.12692,0,59,"2015",0
"BART","2015-03-01",30.34292,-2.10226,14.12033,0,60,"2015",0
"HARV","2015-03-01",23.12456,4.38044,13.7525,0,60,"2015",0
"UNDE","2015-03-01",20.0768,4.28774,12.18227,0,60,"2015",0
"BART","2015-03-02",28.02128,13.1711,20.59619,0,61,"2015",0
"HARV","2015-03-02",30.47234,19.81382,25.14308,0,61,"2015",0
"UNDE","2015-03-02",25.12112,6.69092,15.90602,0,61,"2015",0
"BART","2015-03-03",29.93792,10.46426,20.20109,0,62,"2015",0
"HARV","2015-03-03",26.09042,5.06534,15.57788,0,62,"2015",0
"UNDE","2015-03-03",23.85194,8.11022,15.98108,0,62,"2015",0
"BART","2015-03-04",43.97126,19.00652,31.48889,0,63,"2015",0
"HARV","2015-03-04",37.8869,19.21712,28.55201,0,63,"2015",0
"UNDE","2015-03-04",22.2431,-7.95856000000001,7.14227,0,63,"2015",0
"BART","2015-03-05",39.20846,11.23772,25.22309,0,64,"2015",0
"HARV","2015-03-05",34.1348,16.3184,25.2266,0,64,"2015",0
"UNDE","2015-03-05",12.43328,-22.03384,-4.80028,0,64,"2015",0
"BART","2015-03-06",28.11758,3.1694,15.64349,0,65,"2015",0
"HARV","2015-03-06",24.46664,1.58396,13.0253,0,65,"2015",0
"UNDE","2015-03-06",29.37812,-5.16424,12.10694,0,65,"2015",0
"BART","2015-03-07",35.54312,3.50096,19.52204,0,66,"2015",0
"HARV","2015-03-07",33.07514,7.35728,20.21621,0,66,"2015",0
"UNDE","2015-03-07",30.87572,9.11192,19.99382,0,66,"2015",0
"BART","2015-03-08",36.7367,9.98996,23.36333,0,67,"2015",0
"HARV","2015-03-08",37.20254,19.74434,28.47344,0,67,"2015",0
"UNDE","2015-03-08",37.05746,5.14364,21.10055,0,67,"2015",0
"BART","2015-03-09",39.36578,18.02696,28.69637,0,68,"2015",0
"HARV","2015-03-09",43.05614,21.2828,32.16947,0,68,"2015",0
"UNDE","2015-03-09",51.39734,19.01192,35.20463,0,68,"2015",0
"BART","2015-03-10",51.21788,26.19914,38.70851,0,69,"2015",0
"HARV","2015-03-10",47.80706,23.64656,35.72681,0,69,"2015",0
"UNDE","2015-03-10",60.22454,28.93316,44.57885,0,69,"2015",0
"BART","2015-03-11",52.41488,32.25236,42.33362,0,70,"2015",0
"HARV","2015-03-11",52.64168,32.63864,42.64016,0,70,"2015",0
"UNDE","2015-03-11",50.58338,23.92592,37.25465,0,70,"2015",0
"BART","2015-03-12",44.52782,20.2235,32.37566,0,71,"2015",0
"HARV","2015-03-12",42.6443,25.58048,34.11239,0,71,"2015",0
"UNDE","2015-03-12",51.11708,29.31962,40.21835,0,71,"2015",0
"BART","2015-03-13",38.35328,11.71544,25.03436,0,72,"2015",0
"HARV","2015-03-13",36.69242,14.41346,25.55294,0,72,"2015",0
"UNDE","2015-03-13",58.07246,35.09888,46.58567,0,72,"2015",0
