"siteID","date","dayMax","dayMin","dayMean","GDD","AGDD","dayOfYear","year","monthDay"
"BART","2017-01-10",28.88672,-3.6886,12.59906,0,0,10,"2017","2017-01-10"
"HARV","2017-01-10",31.88048,2.63408,17.25728,0,0,10,"2017","2017-01-10"
"SERC","2017-01-10",34.12958,12.5114,23.32049,0,0,10,"2017","2017-01-10"
"UNDE","2017-01-10",26.1932,14.74664,20.46992,0,0,10,"2017","2017-01-10"
"UKFS","2017-01-10",56.27696,38.64956,47.46326,0,0,10,"2017","2017-01-10"
"ORNL","2017-01-10",49.54244,34.1807,41.86157,0,12,10,"2017","2017-01-10"
"ABBY","2017-01-10",37.86062,31.78184,34.82123,0,0,10,"2017","2017-01-10"
"BART","2017-01-11",49.50878,19.10498,34.30688,0,0,11,"2017","2017-01-11"
"HARV","2017-01-11",49.13168,29.2802,39.20594,0,0,11,"2017","2017-01-11"
"SERC","2017-01-11",58.07804,33.63566,45.85685,0,0,11,"2017","2017-01-11"
"UNDE","2017-01-11",23.15966,-0.0889600000000002,11.53535,0,0,11,"2017","2017-01-11"
"UKFS","2017-01-11",64.27562,28.34204,46.30883,0,0,11,"2017","2017-01-11"
"ORNL","2017-01-11",57.53228,45.2723,51.40229,1,13,11,"2017","2017-01-11"
"ABBY","2017-01-11",35.35232,25.682,30.51716,0,0,11,"2017","2017-01-11"
"BART","2017-01-12",55.67918,28.68566,42.18242,0,0,12,"2017","2017-01-12"
"HARV","2017-01-12",51.31058,32.59958,41.95508,0,0,12,"2017","2017-01-12"
"SERC","2017-01-12",71.94542,40.89164,56.41853,6,6,12,"2017","2017-01-12"
"UNDE","2017-01-12",11.93828,-1.6537,5.14229,0,0,12,"2017","2017-01-12"
"UKFS","2017-01-12",29.41016,14.68022,22.04519,0,0,12,"2017","2017-01-12"
"ORNL","2017-01-12",64.3064,54.88196,59.59418,10,23,12,"2017","2017-01-12"
"ABBY","2017-01-12",35.48174,6.4409,20.96132,0,0,12,"2017","2017-01-12"
"BART","2017-01-13",57.22358,18.12884,37.67621,0,0,13,"2017","2017-01-13"
"HARV","2017-01-13",51.8648,25.2797,38.57225,0,0,13,"2017","2017-01-13"
"SERC","2017-01-13",68.16542,45.5594,56.86241,7,13,13,"2017","2017-01-13"
"UNDE","2017-01-13",7.25252,-17.78206,-5.26477,0,0,13,"2017","2017-01-13"
"UKFS","2017-01-13",27.0689,17.59136,22.33013,0,0,13,"2017","2017-01-13"
"ORNL","2017-01-13",62.83274,56.0957,59.46422,9,32,13,"2017","2017-01-13"
"ABBY","2017-01-13",34.37474,5.594,19.98437,0,0,13,"2017","2017-01-13"
"BART","2017-01-14",20.95556,3.46568,12.21062,0,0,14,"2017","2017-01-14"
"HARV","2017-01-14",28.65614,9.60296,19.12955,0,0,14,"2017","2017-01-14"
"SERC","2017-01-14",46.6574,31.73252,39.19496,0,13,14,"2017","2017-01-14"
"UNDE","2017-01-14",22.6445,3.79544,13.21997,0,0,14,"2017","2017-01-14"
"UKFS","2017-01-14",35.57282,24.19718,29.885,0,0,14,"2017","2017-01-14"
"ORNL","2017-01-14",67.32338,53.23154,60.27746,10,42,14,"2017","2017-01-14"
"ABBY","2017-01-14",41.2349,8.37896,24.80693,0,0,14,"2017","2017-01-14"
"BART","2017-01-15",25.31498,7.21868,16.26683,0,0,15,"2017","2017-01-15"
"HARV","2017-01-15",32.22032,15.80522,24.01277,0,0,15,"2017","2017-01-15"
"SERC","2017-01-15",48.68258,31.02494,39.85376,0,13,15,"2017","2017-01-15"
"UNDE","2017-01-15",29.88752,-4.13842,12.87455,0,0,15,"2017","2017-01-15"
"UKFS","2017-01-15",32.1134,28.16456,30.13898,0,0,15,"2017","2017-01-15"
"ORNL","2017-01-15",64.03154,53.50046,58.766,9,51,15,"2017","2017-01-15"
"ABBY","2017-01-15",40.2944,10.73336,25.51388,0,0,15,"2017","2017-01-15"
"BART","2017-01-16",38.03756,5.58968,21.81362,0,0,16,"2017","2017-01-16"
"HARV","2017-01-16",36.95864,13.0838,25.02122,0,0,16,"2017","2017-01-16"
"SERC","2017-01-16",41.80334,32.68364,37.24349,0,13,16,"2017","2017-01-16"
"UNDE","2017-01-16",33.36512,11.84864,22.60688,0,0,16,"2017","2017-01-16"
"UKFS","2017-01-16",46.91534,30.97382,38.94458,0,0,16,"2017","2017-01-16"
"ORNL","2017-01-16",59.54918,53.02004,56.28461,6,57,16,"2017","2017-01-16"
"ABBY","2017-01-16",44.31884,16.39634,30.35759,0,0,16,"2017","2017-01-16"
"BART","2017-01-17",42.93968,21.37334,32.15651,0,0,17,"2017","2017-01-17"
"HARV","2017-01-17",41.59004,19.89626,30.74315,0,0,17,"2017","2017-01-17"
"SERC","2017-01-17",44.60414,37.38722,40.99568,0,13,17,"2017","2017-01-17"
"UNDE","2017-01-17",40.40834,25.88432,33.14633,0,0,17,"2017","2017-01-17"
"UKFS","2017-01-17",42.90656,32.93906,37.92281,0,0,17,"2017","2017-01-17"
"ORNL","2017-01-17",61.44152,55.13864,58.29008,8,65,17,"2017","2017-01-17"
"ABBY","2017-01-17",52.2266,29.75756,40.99208,0,0,17,"2017","2017-01-17"
"BART","2017-01-18",33.9566,24.26576,29.11118,0,0,18,"2017","2017-01-18"
"HARV","2017-01-18",33.56636,30.51896,32.04266,0,0,18,"2017","2017-01-18"
"SERC","2017-01-18",58.74782,43.2986,51.02321,1,14,18,"2017","2017-01-18"
"UNDE","2017-01-18",42.98054,22.80128,32.89091,0,0,18,"2017","2017-01-18"
"UKFS","2017-01-18",50.16578,26.84138,38.50358,0,0,18,"2017","2017-01-18"
"ORNL","2017-01-18",62.69576,45.69692,54.19634,4,69,18,"2017","2017-01-18"
"ABBY","2017-01-18",54.68594,36.33692,45.51143,0,0,18,"2017","2017-01-18"
"BART","2017-01-19",38.53472,23.31572,30.92522,0,0,19,"2017","2017-01-19"
"HARV","2017-01-19",40.42274,29.10812,34.76543,0,0,19,"2017","2017-01-19"
"SERC","2017-01-19",52.39148,38.97104,45.68126,0,14,19,"2017","2017-01-19"
"UNDE","2017-01-19",37.1228,28.53626,32.82953,0,0,19,"2017","2017-01-19"
"UKFS","2017-01-19",47.22404,36.1463,41.68517,0,0,19,"2017","2017-01-19"
"ORNL","2017-01-19",56.06402,43.6568,49.86041,0,69,19,"2017","2017-01-19"
"ABBY","2017-01-19",48.81974,39.48548,44.15261,0,0,19,"2017","2017-01-19"
"BART","2017-01-20",35.61116,22.09712,28.85414,0,0,20,"2017","2017-01-20"
"HARV","2017-01-20",36.05846,29.39738,32.72792,0,0,20,"2017","2017-01-20"
"SERC","2017-01-20",43.6388,30.4862,37.0625,0,14,20,"2017","2017-01-20"
"UNDE","2017-01-20",36.4226,28.42664,32.42462,0,0,20,"2017","2017-01-20"
"UKFS","2017-01-20",51.25928,43.79936,47.52932,0,0,20,"2017","2017-01-20"
"ORNL","2017-01-20",66.56504,49.31258,57.93881,8,77,20,"2017","2017-01-20"
"ABBY","2017-01-20",44.45978,30.40178,37.43078,0,0,20,"2017","2017-01-20"
"BART","2017-01-21",44.02634,26.06252,35.04443,0,0,21,"2017","2017-01-21"
"HARV","2017-01-21",49.54874,31.62632,40.58753,0,0,21,"2017","2017-01-21"
"SERC","2017-01-21",47.58728,41.1836,44.38544,0,14,21,"2017","2017-01-21"
"UNDE","2017-01-21",36.22856,31.77356,34.00106,0,0,21,"2017","2017-01-21"
"UKFS","2017-01-21",57.21674,36.82904,47.02289,0,0,21,"2017","2017-01-21"
"ORNL","2017-01-21",63.85514,52.84778,58.35146,8,85,21,"2017","2017-01-21"
"ABBY","2017-01-21",43.06046,30.6815,36.87098,0,0,21,"2017","2017-01-21"
"BART","2017-01-22",43.82564,31.05392,37.43978,0,0,22,"2017","2017-01-22"
"HARV","2017-01-22",46.1822,32.47844,39.33032,0,0,22,"2017","2017-01-22"
"SERC","2017-01-22",48.53462,41.83448,45.18455,0,14,22,"2017","2017-01-22"
"UNDE","2017-01-22",35.74598,32.99864,34.37231,0,0,22,"2017","2017-01-22"
"UKFS","2017-01-22",52.3841,32.64386,42.51398,0,0,22,"2017","2017-01-22"
"ORNL","2017-01-22",65.11442,49.49834,57.30638,7,92,22,"2017","2017-01-22"
"ABBY","2017-01-22",46.9715,30.81596,38.89373,0,0,22,"2017","2017-01-22"
"BART","2017-01-23",32.32778,25.36754,28.84766,0,0,23,"2017","2017-01-23"
"HARV","2017-01-23",34.1888,27.58298,30.88589,0,0,23,"2017","2017-01-23"
"SERC","2017-01-23",48.91172,37.4954,43.20356,0,14,23,"2017","2017-01-23"
"UNDE","2017-01-23",34.3526,31.34876,32.85068,0,0,23,"2017","2017-01-23"
"UKFS","2017-01-23",38.58764,26.62934,32.60849,0,0,23,"2017","2017-01-23"
"ORNL","2017-01-23",58.87778,46.44284,52.66031,3,95,23,"2017","2017-01-23"
"ABBY","2017-01-23",51.06776,30.95888,41.01332,0,0,23,"2017","2017-01-23"
"BART","2017-01-24",33.50426,25.68902,29.59664,0,0,24,"2017","2017-01-24"
"HARV","2017-01-24",33.40184,27.19778,30.29981,0,0,24,"2017","2017-01-24"
"SERC","2017-01-24",47.6402,34.96658,41.30339,0,14,24,"2017","2017-01-24"
"UNDE","2017-01-24",33.60866,31.03106,32.31986,0,0,24,"2017","2017-01-24"
"UKFS","2017-01-24",57.0434,30.42608,43.73474,0,0,24,"2017","2017-01-24"
"ORNL","2017-01-24",54.61664,39.22502,46.92083,0,95,24,"2017","2017-01-24"
"ABBY","2017-01-24",43.6316,22.37648,33.00404,0,0,24,"2017","2017-01-24"
"BART","2017-01-25",35.52368,28.5233,32.02349,0,0,25,"2017","2017-01-25"
"HARV","2017-01-25",35.9006,27.70826,31.80443,0,0,25,"2017","2017-01-25"
"SERC","2017-01-25",63.97736,33.32462,48.65099,0,14,25,"2017","2017-01-25"
"UNDE","2017-01-25",32.20718,24.02186,28.11452,0,0,25,"2017","2017-01-25"
"UKFS","2017-01-25",53.7089,31.62506,42.66698,0,0,25,"2017","2017-01-25"
"ORNL","2017-01-25",63.22694,34.41884,48.82289,0,95,25,"2017","2017-01-25"
"ABBY","2017-01-25",42.98162,33.49364,38.23763,0,0,25,"2017","2017-01-25"
"BART","2017-01-26",47.19326,24.78362,35.98844,0,0,26,"2017","2017-01-26"
"HARV","2017-01-26",45.40118,31.64342,38.5223,0,0,26,"2017","2017-01-26"
"SERC","2017-01-26",61.64402,37.8194,49.73171,0,14,26,"2017","2017-01-26"
"UNDE","2017-01-26",27.96098,23.62604,25.79351,0,0,26,"2017","2017-01-26"
"UKFS","2017-01-26",36.59252,25.43108,31.0118,0,0,26,"2017","2017-01-26"
"ORNL","2017-01-26",60.92942,38.3972,49.66331,0,95,26,"2017","2017-01-26"
"ABBY","2017-01-26",44.76938,34.56176,39.66557,0,0,26,"2017","2017-01-26"
"BART","2017-01-27",38.15996,31.18532,34.67264,0,0,27,"2017","2017-01-27"
"HARV","2017-01-27",39.0245,31.73126,35.37788,0,0,27,"2017","2017-01-27"
"SERC","2017-01-27",48.08156,36.40874,42.24515,0,14,27,"2017","2017-01-27"
"UNDE","2017-01-27",30.55802,18.1634,24.36071,0,0,27,"2017","2017-01-27"
"UKFS","2017-01-27",45.67802,23.18378,34.4309,0,0,27,"2017","2017-01-27"
"ORNL","2017-01-27",38.58998,32.23706,35.41352,0,95,27,"2017","2017-01-27"
"ABBY","2017-01-27",56.81696,25.53638,41.17667,0,0,27,"2017","2017-01-27"
"BART","2017-01-28",34.52846,27.76298,31.14572,0,0,28,"2017","2017-01-28"
"HARV","2017-01-28",34.09016,27.6161,30.85313,0,0,28,"2017","2017-01-28"
"SERC","2017-01-28",46.6673,30.7445,38.7059,0,14,28,"2017","2017-01-28"
"UNDE","2017-01-28",28.01624,20.43968,24.22796,0,0,28,"2017","2017-01-28"
"UKFS","2017-01-28",50.33912,27.31622,38.82767,0,0,28,"2017","2017-01-28"
"ORNL","2017-01-28",50.76374,26.68676,38.72525,0,95,28,"2017","2017-01-28"
"ABBY","2017-01-28",51.29564,26.45528,38.87546,0,0,28,"2017","2017-01-28"
"BART","2017-01-29",34.13318,27.87296,31.00307,0,0,29,"2017","2017-01-29"
"HARV","2017-01-29",36.41324,23.36594,29.88959,0,0,29,"2017","2017-01-29"
"SERC","2017-01-29",46.08482,27.21974,36.65228,0,14,29,"2017","2017-01-29"
"UNDE","2017-01-29",21.24896,9.95882,15.60389,0,0,29,"2017","2017-01-29"
"UKFS","2017-01-29",52.15406,33.24146,42.69776,0,0,29,"2017","2017-01-29"
"ORNL","2017-01-29",45.93362,34.81304,40.37333,0,95,29,"2017","2017-01-29"
"ABBY","2017-01-29",52.48292,27.38768,39.9353,0,0,29,"2017","2017-01-29"
"BART","2017-01-30",28.35518,15.33686,21.84602,0,0,30,"2017","2017-01-30"
"HARV","2017-01-30",30.19352,16.95974,23.57663,0,0,30,"2017","2017-01-30"
"SERC","2017-01-30",41.639,28.67,35.1545,0,14,30,"2017","2017-01-30"
"UNDE","2017-01-30",16.3805,2.0399,9.2102,0,0,30,"2017","2017-01-30"
"UKFS","2017-01-30",63.93578,28.83902,46.3874,0,0,30,"2017","2017-01-30"
"ORNL","2017-01-30",49.06526,27.92336,38.49431,0,95,30,"2017","2017-01-30"
"ABBY","2017-01-30",47.23484,36.27716,41.756,0,0,30,"2017","2017-01-30"
"BART","2017-01-31",24.1979,4.71704,14.45747,0,0,31,"2017","2017-01-31"
"HARV","2017-01-31",23.90954,10.4954,17.20247,0,0,31,"2017","2017-01-31"
"SERC","2017-01-31",54.76478,22.71164,38.73821,0,14,31,"2017","2017-01-31"
"UNDE","2017-01-31",25.40516,11.0624,18.23378,0,0,31,"2017","2017-01-31"
"UKFS","2017-01-31",60.40436,32.93168,46.66802,0,0,31,"2017","2017-01-31"
"ORNL","2017-01-31",65.11424,35.49398,50.30411,0,95,31,"2017","2017-01-31"
"ABBY","2017-01-31",42.0746,36.47372,39.27416,0,0,31,"2017","2017-01-31"
"BART","2017-02-01",27.91796,10.75424,19.3361,0,0,32,"2017","2017-02-01"
"HARV","2017-02-01",35.84894,20.48342,28.16618,0,0,32,"2017","2017-02-01"
"SERC","2017-02-01",47.6051,27.53456,37.56983,0,14,32,"2017","2017-02-01"
"UNDE","2017-02-01",25.34054,9.93866,17.6396,0,0,32,"2017","2017-02-01"
"UKFS","2017-02-01",45.84794,33.45008,39.64901,0,0,32,"2017","2017-02-01"
"ORNL","2017-02-01",69.07442,43.10672,56.09057,6,101,32,"2017","2017-02-01"
"ABBY","2017-02-01",42.25892,26.55914,34.40903,0,0,32,"2017","2017-02-01"
"BART","2017-02-02",29.20676,15.74456,22.47566,0,0,33,"2017","2017-02-02"
"HARV","2017-02-02",33.58382,19.13288,26.35835,0,0,33,"2017","2017-02-02"
"SERC","2017-02-02",48.9002,32.44622,40.67321,0,14,33,"2017","2017-02-02"
"UNDE","2017-02-02",10.29758,-3.11224,3.59267,0,0,33,"2017","2017-02-02"
"UKFS","2017-02-02",34.71584,17.0618,25.88882,0,0,33,"2017","2017-02-02"
"ORNL","2017-02-02",61.94912,40.3583,51.15371,1,102,33,"2017","2017-02-02"
"ABBY","2017-02-02",38.48252,29.88608,34.1843,0,0,33,"2017","2017-02-02"
"BART","2017-02-03",25.42478,13.53488,19.47983,0,0,34,"2017","2017-02-03"
"HARV","2017-02-03",27.66632,14.7677,21.21701,0,0,34,"2017","2017-02-03"
"SERC","2017-02-03",42.1394,30.09452,36.11696,0,14,34,"2017","2017-02-03"
"UNDE","2017-02-03",16.19384,-2.33104,6.9314,0,0,34,"2017","2017-02-03"
"UKFS","2017-02-03",36.04514,20.9057,28.47542,0,0,34,"2017","2017-02-03"
"ORNL","2017-02-03",47.30234,34.46564,40.88399,0,102,34,"2017","2017-02-03"
"ABBY","2017-02-03",33.99818,23.25866,28.62842,0,0,34,"2017","2017-02-03"
"BART","2017-02-04",25.3589,10.51106,17.93498,0,0,35,"2017","2017-02-04"
"HARV","2017-02-04",28.34024,8.9384,18.63932,0,0,35,"2017","2017-02-04"
"SERC","2017-02-04",41.92466,19.62536,30.77501,0,14,35,"2017","2017-02-04"
"UNDE","2017-02-04",20.54462,1.38056,10.96259,0,0,35,"2017","2017-02-04"
"UKFS","2017-02-04",50.08622,23.2754,36.68081,0,0,35,"2017","2017-02-04"
"ORNL","2017-02-04",46.47056,21.20396,33.83726,0,102,35,"2017","2017-02-04"
"ABBY","2017-02-04",46.37534,32.15336,39.26435,0,0,35,"2017","2017-02-04"
"BART","2017-02-05",32.78264,12.41528,22.59896,0,0,36,"2017","2017-02-05"
"HARV","2017-02-05",35.26376,16.60532,25.93454,0,0,36,"2017","2017-02-05"
"SERC","2017-02-05",55.82012,24.0305,39.92531,0,14,36,"2017","2017-02-05"
"UNDE","2017-02-05",22.37288,14.20124,18.28706,0,0,36,"2017","2017-02-05"
"UKFS","2017-02-05",51.09116,27.91004,39.5006,0,0,36,"2017","2017-02-05"
"ORNL","2017-02-05",49.90694,36.212,43.05947,0,102,36,"2017","2017-02-05"
"ABBY","2017-02-05",46.28498,31.88534,39.08516,0,0,36,"2017","2017-02-05"
"BART","2017-02-06",32.97038,15.21554,24.09296,0,0,37,"2017","2017-02-06"
"HARV","2017-02-06",34.25612,24.08864,29.17238,0,0,37,"2017","2017-02-06"
"SERC","2017-02-06",58.18424,26.37158,42.27791,0,14,37,"2017","2017-02-06"
"UNDE","2017-02-06",25.53116,11.21594,18.37355,0,0,37,"2017","2017-02-06"
"UKFS","2017-02-06",57.90398,33.88514,45.89456,0,0,37,"2017","2017-02-06"
"ORNL","2017-02-06",46.9355,35.38364,41.15957,0,102,37,"2017","2017-02-06"
"ABBY","2017-02-06",39.5222,32.24858,35.88539,0,0,37,"2017","2017-02-06"
"BART","2017-02-07",19.8302,15.4004,17.6153,0,0,38,"2017","2017-02-07"
"HARV","2017-02-07",29.56892,23.86454,26.71673,0,0,38,"2017","2017-02-07"
"SERC","2017-02-07",70.98548,35.89088,53.43818,3,17,38,"2017","2017-02-07"
"UNDE","2017-02-07",22.86356,17.04704,19.9553,0,0,38,"2017","2017-02-07"
"UKFS","2017-02-07",58.3862,35.11346,46.74983,0,0,38,"2017","2017-02-07"
"ORNL","2017-02-07",62.77694,43.196,52.98647,3,105,38,"2017","2017-02-07"
"ABBY","2017-02-07",38.60654,29.51708,34.06181,0,0,38,"2017","2017-02-07"
"BART","2017-02-08",47.82218,14.53118,31.17668,0,0,39,"2017","2017-02-08"
"HARV","2017-02-08",44.25368,22.9406,33.59714,0,0,39,"2017","2017-02-08"
"SERC","2017-02-08",73.68638,52.43234,63.05936,13,30,39,"2017","2017-02-08"
"UNDE","2017-02-08",17.79476,5.63648,11.71562,0,0,39,"2017","2017-02-08"
"UKFS","2017-02-08",37.0031,21.33338,29.16824,0,0,39,"2017","2017-02-08"
"ORNL","2017-02-08",61.74536,51.55574,56.65055,7,112,39,"2017","2017-02-08"
"ABBY","2017-02-08",39.34994,32.9189,36.13442,0,0,39,"2017","2017-02-08"
"BART","2017-02-09",36.38156,8.11382,22.24769,0,0,40,"2017","2017-02-09"
"HARV","2017-02-09",36.4748,10.22432,23.34956,0,0,40,"2017","2017-02-09"
"SERC","2017-02-09",61.3085,28.65884,44.98367,0,30,40,"2017","2017-02-09"
"UNDE","2017-02-09",11.55758,-4.31212,3.62273,0,0,40,"2017","2017-02-09"
"UKFS","2017-02-09",38.27444,13.20602,25.74023,0,0,40,"2017","2017-02-09"
"ORNL","2017-02-09",60.19376,31.8452,46.01948,0,112,40,"2017","2017-02-09"
"ABBY","2017-02-09",55.50476,37.75352,46.62914,0,0,40,"2017","2017-02-09"
"BART","2017-02-10",8.6144,1.41422,5.01431,0,0,41,"2017","2017-02-10"
"HARV","2017-02-10",21.30926,-0.541119999999999,10.38407,0,0,41,"2017","2017-02-10"
"SERC","2017-02-10",37.78754,20.19326,28.9904,0,30,41,"2017","2017-02-10"
"UNDE","2017-02-10",32.90504,4.34102,18.62303,0,0,41,"2017","2017-02-10"
"UKFS","2017-02-10",70.72268,29.47082,50.09675,0,0,41,"2017","2017-02-10"
"ORNL","2017-02-10",56.09912,23.11502,39.60707,0,112,41,"2017","2017-02-10"
"ABBY","2017-02-10",52.8926,38.09264,45.49262,0,0,41,"2017","2017-02-10"
"BART","2017-02-11",13.52552,2.81282,8.16917,0,0,42,"2017","2017-02-11"
"HARV","2017-02-11",22.71812,12.28496,17.50154,0,0,42,"2017","2017-02-11"
"SERC","2017-02-11",54.44132,33.90818,44.17475,0,30,42,"2017","2017-02-11"
"UNDE","2017-02-11",31.86338,23.16848,27.51593,0,0,42,"2017","2017-02-11"
"UKFS","2017-02-11",72.4685,49.86266,61.16558,11,11,42,"2017","2017-02-11"
"ORNL","2017-02-11",59.4833,46.18688,52.83509,3,115,42,"2017","2017-02-11"
"ABBY","2017-02-11",49.55702,33.5966,41.57681,0,0,42,"2017","2017-02-11"
"BART","2017-02-12",19.68584,3.41546,11.55065,0,0,43,"2017","2017-02-12"
"HARV","2017-02-12",27.05198,14.41868,20.73533,0,0,43,"2017","2017-02-12"
"SERC","2017-02-12",51.60902,42.66752,47.13827,0,30,43,"2017","2017-02-12"
"UNDE","2017-02-12",33.44918,22.94186,28.19552,0,0,43,"2017","2017-02-12"
"UKFS","2017-02-12",63.70826,39.99776,51.85301,2,13,43,"2017","2017-02-12"
"ORNL","2017-02-12",76.41176,56.4566,66.43418,16,131,43,"2017","2017-02-12"
"ABBY","2017-02-12",55.112,25.4453,40.27865,0,0,43,"2017","2017-02-12"
"BART","2017-02-13",24.05912,19.21244,21.63578,0,0,44,"2017","2017-02-13"
"HARV","2017-02-13",28.30982,19.8995,24.10466,0,0,44,"2017","2017-02-13"
"SERC","2017-02-13",51.6632,36.06062,43.86191,0,30,44,"2017","2017-02-13"
"UNDE","2017-02-13",43.44314,15.629,29.53607,0,0,44,"2017","2017-02-13"
